Character:,Voice ID:,Voice Name:
Anderson,tG5bw06DXQnuqEU3nPAq,Gwen
Aryn,w4Z9gYJrajAuQmheNbVn,Haseeb
Jasper,YsvxlKAiTeA2VGZGnQI9,Ian
Tera,98oS1BxL32fKBh1KbTej,Hannah
Toppo,zadbHdSgYi0Gxv83seiu,Amy
DANI,wzsrSPwFvOZ38ICC2oVf,Alex
Automated System,GBv7mTt0atIp3Br8iCZE,Thomas
Mission Control,YVom6vJ8eyip50HaF8fc,Dorian Chase
ABIE,vBKc2FfBKJfcZNyEt1n6,Finn
Player,3XOBzXhnDY98yeWQ3GdM,Brayden
Player,PoHUWWWMHFrA8z7Q88pu,Miranda
Player,z5RTzOyJdFDd9rah0KmY,Yomiee
Player,GCvHMwMlEOnug5ZYBiUw,Nicoletta
Player,bBcZzZIfBJuKQqB3qXog,Tass
Player,ETaPGHnbwEZwP0ymNX3Y,Joey
